"text","created","url","latitude","longitude","retweetCount","hashtag"
"A new favorite: Labyrinth by @dannybyrd https://t.co/GRig8MGFvo on #SoundCloud",2017-08-11 22:02:23,"https://twitter.com/Guy_Gus/status/896129695778983936",NA,NA,0,"#soundcloud"
"A new favorite: MEDLEY MC MP FAT DEEJAY JARDEL ( MARTINZADA) by DEEJAY JARDEL https://t.co/wtrEOGRXyq on #SoundCloud",2017-08-11 22:02:22,"https://twitter.com/Juninho_Bocarra/status/896129691450355713",NA,NA,0,"#soundcloud"
"Already 3k plays on this shit! Listen before it blows Factxx - My World by Dey$tayLit  on #SoundCloud? #np https://t.co/XofiJCe3g3",2017-08-11 22:02:21,"https://twitter.com/yeahweLIT/status/896129686173958144",NA,NA,0,"#soundcloud"
"Since I'm in the country <ed><a0><be><ed><b4><b7><ed><a0><bc><ed><bf><bd><e2><80><8d><e2><99><82><ef><b8><8f>Branchez &amp; Big Wet-Turn Up On the Weekend (Carter Cruise Remix) #SoundCloud  https://t.co/P3zg10Ld37",2017-08-11 22:02:20,"https://twitter.com/AlexWtss/status/896129685221814273",NA,NA,0,"#soundcloud"
"Hear and follow Insane900 on #SoundCloud https://t.co/EghjbfEGrf",2017-08-11 22:02:19,"https://twitter.com/AllHailAlxndr/status/896129680566140928",NA,NA,0,"#soundcloud"
"#Listen to #Barz4AnyArtist by #3ElevenGang #np on #SoundCloud #independentartist #unsigned #talented #954 #305 https://t.co/Az2rD0kj5K",2017-08-11 22:02:19,"https://twitter.com/DiceMan3Eleven/status/896129680410947584",NA,NA,0,"#soundcloud"
"#BangerSound 411 - [Prod. Jermaine Elliott, Murphy Kid &amp; Cashmere Brown] by @musicbyjermaine https://t.co/lVjEbzaxxH on #SoundCloud",2017-08-11 22:02:19,"https://twitter.com/bangersound/status/896129678993260545",NA,NA,2,"#soundcloud"
"Listen to SAFE by ZAYDA #np on #SoundCloud
Freestyle fwm https://t.co/qoOSSTfV9y",2017-08-11 22:02:18,"https://twitter.com/YungZayDaRacKs/status/896129674576707584",NA,NA,0,"#soundcloud"
"My new sounds: Red Zone https://t.co/kC7mFUlo6c on #SoundCloud",2017-08-11 22:02:16,"https://twitter.com/BlackIsmo/status/896129667450650625",NA,NA,0,"#soundcloud"
"Have you heard <e2><80><98>MONSTERS<e2><80><99> by BiSHidol on #SoundCloud? #np https://t.co/cYE4YbPJjM",2017-08-11 22:02:16,"https://twitter.com/tetsuyatakaura/status/896129665428987904",NA,NA,0,"#soundcloud"
