"text","created","url","latitude","longitude","retweetCount","hashtag"
"GO CHECK OUT MY SINGLE ""DRUGZ"" <ed><a0><bd><ed><b4><a5><ed><a0><bd><ed><b4><a5><ed><a0><bd><ed><b4><a5> PRODUCED BY @djslugomusic  AVAILABLE ON #TIDAL #SPOTIFY<e2><80><a6> https://t.co/wqNUSELtVY",2017-08-11 23:43:54,"https://twitter.com/MorganMimosa/status/896155241606926336",NA,NA,0,"#spotify"
"#NowPlaying Expl<c3><ad>cale by Yandel, Bad Bunny on @Spotify. Mixed with @Algoriddim<e2><80><99>s #djay #MixxZone #Spotify https://t.co/hNSt7a5Vjr",2017-08-11 23:43:10,"https://twitter.com/THA_KZZA/status/896155058508750848",NA,NA,0,"#spotify"
"'Q'

Available Now on #YouTube 

(Prod. @YoungMizu)
Shot By: @DirectorKam 
https://t.co/kvxIS1xI0q

#spotify #tidal #AppleMusic #NewJersey",2017-08-11 23:42:06,"https://twitter.com/OnlyGotDope/status/896154788596928512",NA,NA,16,"#spotify"
"It's what you know spotify #spotify #caplyfe #vibes #music #unsignedartist #rapper #singer<e2><80><a6> https://t.co/zYycpzxgQ5",2017-08-11 23:41:54,"https://twitter.com/RealDuKwon/status/896154742270722048","40.73956","-73.99409",0,"#spotify"
"Now playing: Face Like Thunder -- The Japanese House #Last.fm #scrobble #spotify https://t.co/qM4YRFdmxh https://t.co/gcFHgbsgsI",2017-08-11 23:40:12,"https://twitter.com/glemusic/status/896154312614658048",NA,NA,1,"#spotify"
"#VINDEPAPERS  @vindepapers (B.I.G.A.F ) BEFORE I GO ANY FURTHER. #TIDAL #spotify #DATPIFF #itunes #mymixtapez<e2><80><a6> https://t.co/2ASIFhBR80",2017-08-11 23:40:03,"https://twitter.com/Alldevzaa/status/896154276421967873",NA,NA,1,"#spotify"
"Follow Me On #Spotify !!!

https://t.co/1mrCqNYnp9",2017-08-11 23:39:47,"https://twitter.com/KingRickyyC/status/896154205940994048",NA,NA,0,"#spotify"
"Be sure to check out Sad Pop on #spotify featuring @Romy_off and her newest single #frenchkiss<e2><80><a6> https://t.co/JSHhyGKN9d",2017-08-11 23:31:36,"https://twitter.com/Necro_Skull/status/896152149385543680",NA,NA,1,"#spotify"
"My brother from antha mother go check him out on #itunes #spotify #googleplay #tidal<e2><80><a6> https://t.co/i3Ev3RDisX",2017-08-11 23:31:11,"https://twitter.com/ROCsteady585/status/896152042661568514",NA,NA,0,"#spotify"
"#Recomienden Playlist en #Spotify",2017-08-11 23:30:40,"https://twitter.com/jorge_lozano/status/896151913699225600",NA,NA,0,"#spotify"
"Diesel da Disciple ""Pave The Way"" (Download 2day) click this link&gt;&gt; https://t.co/hEe4krCilv @dieseldisciple #RDKM<e2><80><a6> https://t.co/NUg6eUdtTI",2017-08-11 23:30:03,"https://twitter.com/RepDaKingMag/status/896151756966510592",NA,NA,1,"#spotify"
"#Np #Cheers<ed><a0><bc><ed><bd><be> by #OneWayFlight 
#StreamNow on #Spotify 
#PartyNeededMore #WeekendVibes  https://t.co/WfqZ3cMms4",2017-08-11 23:29:37,"https://twitter.com/mrfeelgood87/status/896151647058931713",NA,NA,2,"#spotify"
"Whatever I want the single #available now on #Spotify #iTunes and #GooglePlay video #linkinmybio<ed><a0><bd><ed><b4><a5><ed><a0><bd><ed><b4><a5><ed><a0><bd><ed><b4><a5> https://t.co/JDwe8jwbSN",2017-08-11 23:26:21,"https://twitter.com/Meechowensz/status/896150826468597760",NA,NA,0,"#spotify"
"#LogInAndListen to 'R.C.P.' by @rothmancypher on #Spotify #RothmanCypherProductions https://t.co/WUQhpA0pAU",2017-08-11 23:25:06,"https://twitter.com/iLyPromo/status/896150511543492608",NA,NA,0,"#spotify"
"Spotify playlist with Blur #blur and Youth Lagoon #youthlagoon https://t.co/nII3dhkRVH #spotify https://t.co/DW7t8fyB3A",2017-08-11 23:25:05,"https://twitter.com/spotifyplaylsts/status/896150508636839937",NA,NA,0,"#spotify"
"#LogInAndListen to 'R.C.P.' by @rothmancypher on #Spotify #RothmanCypherProductions https://t.co/2edXIO8F5Q",2017-08-11 23:25:03,"https://twitter.com/WePromoForYou/status/896150498297782272",NA,NA,0,"#spotify"
"#LogInAndListen to 'R.C.P.' by @rothmancypher on #Spotify #RothmanCypherProductions https://t.co/p8QmfGPHWM",2017-08-11 23:25:03,"https://twitter.com/iLyPromotions/status/896150497878458373",NA,NA,0,"#spotify"
"New #Cover for my #Spotify #Playlist. #GirlPower My Munchkins #TT, thank you to her Momma for<e2><80><a6> https://t.co/KodSJDEfox",2017-08-11 23:24:15,"https://twitter.com/KcLienard/status/896150297923297282",NA,NA,1,"#spotify"
"#NowPlaying Nasty (Who Dat) by A$AP Ferg, Migos on @Spotify. Mixed with @Algoriddim<e2><80><99>s #djay #Spotify #MixxZone https://t.co/PvXBBKuKZD",2017-08-11 23:23:26,"https://twitter.com/THA_KZZA/status/896150094222729216",NA,NA,0,"#spotify"
"Morning #Spotify #NowPlaying passanger - when we were young (accoustic) <ed><a0><bc><ed><bd><83>",2017-08-11 23:20:01,"https://twitter.com/brgtan/status/896149232998006784",NA,NA,0,"#spotify"
"@naomi_vonkreeps #Spotify easy and great",2017-08-11 23:19:37,"https://twitter.com/r2d2_jrz/status/896149133219602432",NA,NA,1,"#spotify"
"#Crossroads by #BoneThugs has 35M listens on #Spotify. One Night by Lil #Yachty has 119M.  Ain't THAT about a b****! We're so F'd...",2017-08-11 23:19:12,"https://twitter.com/dustinstelzer/status/896149027254710272",NA,NA,0,"#spotify"
"Now streaming on #Spotify!... @AlfieArcuri - If They Only Knew (Dan Slater Remix) https://t.co/LtMkHCaxx5",2017-08-11 23:17:44,"https://twitter.com/DanielSl8r/status/896148660437663744",NA,NA,0,"#spotify"
"Top 10 #EDM #playlist track from @StaraWorld #The6thSense video https://t.co/4L0e0HxVQJ #Spotify https://t.co/dAMPHGKiKE",2017-08-11 23:16:22,"https://twitter.com/imusicbuzz/status/896148315284230144",NA,NA,0,"#spotify"
"NO HARD FEELINGS<ed><a0><bd><ed><b4><a5><ed><a0><bd><ed><b4><a5><ed><a0><bd><ed><b4><a5>
JG MadeUmLook @JG_MadeUmLook new album available on #Spotify #Streamit<e2><80><a6> https://t.co/18mnlqKsBU",2017-08-11 23:15:57,"https://twitter.com/KnockDownMuzik/status/896148211772960768",NA,NA,0,"#spotify"
"New #Pop #playlist smash from #UK emerging star @AlexJade2208 #AfterMidnight video https://t.co/sWip2A78T0 #Spotify https://t.co/AORH2D5qXX",2017-08-11 23:15:36,"https://twitter.com/Indie_Success/status/896148122010767360",NA,NA,0,"#spotify"
"New #Pop #playlist smash from #UK emerging star @AlexJade2208 #AfterMidnight video https://t.co/FR8jg5OrlN #Spotify https://t.co/6BMob8CZGC",2017-08-11 23:15:35,"https://twitter.com/MusicArtistspro/status/896148116755202048",NA,NA,1,"#spotify"
"Add Chuckruthless on #IG and #Twitter 
Paradise E.P. out now on #Spotify #Rnb 
https://t.co/rXWVtOnS5A",2017-08-11 23:15:35,"https://twitter.com/imashleydsouza/status/896148116075724800",NA,NA,0,"#spotify"
"#Canada #Pop #RNB #playlist hit #Dance from @Susie_McLean #Spotify https://t.co/F64DFbCLit",2017-08-11 23:15:33,"https://twitter.com/ArtistsandMusic/status/896148111155879936",NA,NA,0,"#spotify"
"Add @Chuckruthless on #IG and #Twitter 
Paradise E.P. out now on #Spotify #Rnb 
https://t.co/8poI5FljFp",2017-08-11 23:14:20,"https://twitter.com/UKsocialBuzz/status/896147801960087553",NA,NA,0,"#spotify"
"Free music is death of artistry #spotify #sl<c3><bc>shie #metaphor #indie #contraindicativepopmetal #iveheardfreesongs<e2><80><a6> https://t.co/bU4DUf1s1m",2017-08-11 23:13:07,"https://twitter.com/officialslushie/status/896147498779136000",NA,NA,0,"#spotify"
"https://t.co/ueNjozTksz new mixtape alert <ed><a0><bd><ed><b3><a2><ed><a0><bd><ed><b3><a2><ed><a0><bd><ed><b3><a2><ed><a0><bd><ed><b3><a2> Misunderstood By Young NY Out Now
#iTunes #GooglePlay #Pandora<e2><80><a6> https://t.co/xGUTVExLny",2017-08-11 23:11:52,"https://twitter.com/Bustheadsrecord/status/896147184197877760",NA,NA,1,"#spotify"
"Teaching Mrs F. how to use #spotify. Dear god.",2017-08-11 23:10:47,"https://twitter.com/samfugill/status/896146908816719872",NA,NA,0,"#spotify"
